Size, Traditional, Vedic
21,5457,4703
22,7727,7204
23,9333,6827
24,9419,6529
25,14723,10362
26,15159,14015
27,18358,19464
28,17456,11989
29,21429,17651
30,20694,14408
31,23848,20100
32,27576,18997
33,28451,21590
34,32469,25755
35,33390,29613
36,36306,31066
37,40229,43431
38,38639,20242
39,41794,24963
40,41676,21834
41,47571,29741
42,48982,39948
43,55778,49007
44,54379,33843
45,53492,23752
46,53721,33725
47,55063,38220
48,58392,30291
49,61413,42756
50,65441,32404
51,66134,28528
52,69314,38006
53,70300,32798
54,71134,29581
55,71981,38546
56,77490,43355
57,72800,26176
58,81317,44811
59,83646,38018
60,81337,49252
61,85261,32511
62,87434,48706
63,88356,43113
64,93932,45669
65,93185,36861
66,99109,60191
67,97765,33830
68,103009,32834
69,111185,48883
70,100559,38582
71,107582,37896
72,111769,48203
73,111165,33175
74,112237,38798
75,103233,30154
76,120736,50027
77,118064,46996
78,121484,44361
79,121308,45816
80,127958,58210
81,128404,41725
82,127534,57560
83,127219,55547
84,129290,51582
85,136311,41616
86,134648,43912
87,140678,58170
88,147057,59677
89,140591,43708
90,153708,67313
91,143891,46174
92,150302,48270
93,148138,57967
94,151793,47964
95,155025,48002
96,154193,60936
97,159443,63196
98,167932,59431
99,168392,54593
100,165626,76932
101,167670,51876
102,171670,47855
103,174504,53486
104,174678,66219
105,181928,62389
106,166582,42612
107,174375,47990
108,179284,51411
109,177580,45060
110,192413,75849
111,188700,60157
112,192379,78189
113,186086,52013
114,193156,54450
115,189254,67844
116,199611,58685
117,206388,63290
118,207464,67242
119,212689,63379
120,208003,64837
121,210548,58442
122,206831,56556
123,207980,77921
124,211537,59960
125,213499,61093
126,213378,61997
127,222482,51160
128,219964,52530
129,220449,56966
130,231359,65406
131,229663,69602
132,230128,73593
133,226599,82734
134,232630,64760
135,238241,57205
136,241595,57734
137,233006,63693
138,246151,77059
139,246809,76091
140,239247,59482
141,259286,76352
142,249334,79708
143,253550,61835
144,257189,73805
145,252058,73786
146,263488,68348
147,261618,74668
148,263504,75086
149,267673,69461
150,275383,79673
151,271137,61964
152,264952,82614
153,267328,61006
154,274594,74127
155,275669,81028
156,292605,80007
157,285773,77029
158,285237,78828
159,290355,76104
160,285400,70930
161,281079,77475
162,288063,73937
163,284587,76114
164,288661,71632
165,291063,66251
166,298093,66447
167,302952,89421
168,316473,72991
169,298901,65500
170,310759,66698
171,314742,85799
172,309729,81146
173,306953,68705
174,306595,75071
175,319875,75328
176,321452,80414
177,328008,79483
178,328996,91335
179,324824,83849
180,335259,108692
181,332440,75765
182,335278,82589
183,329200,80935
184,342418,138994
185,337198,79342
186,351485,83643
187,345982,95461
188,337870,76187
189,344231,80426
190,352573,106689
191,337964,73443
192,354870,100148
193,348613,99367
194,371348,91647
195,360862,82679
196,368397,83913
197,362438,80830
198,382165,89133
199,371893,90649
200,381060,92660
201,371077,86027
202,374437,90452
203,381891,107816
204,378987,88974
205,390399,83281
206,391231,104173
207,387984,96602
208,376178,80279
209,384045,95239
210,395050,99458
211,390101,98170
212,389784,119674
213,400238,103228
214,394558,86645
215,407893,111442
216,396349,73068
217,393509,87721
218,401341,82325
219,412896,89632
220,410609,91948
221,406365,88742
222,404025,91037
223,402117,74524
224,421864,108343
225,416175,92060
226,425010,104123
227,427556,108708
228,421903,116786
229,425596,120121
230,425141,100341
231,442858,116025
232,451706,120243
233,443506,93268
234,436947,118946
235,440756,110370
236,443700,99882
237,446553,109621
238,455206,105610
239,462264,119254
240,451426,101758
241,453914,102032
242,463328,111765
243,454899,100336
244,463907,119328
245,471092,101253
246,457427,113227
247,458497,101182
248,471033,118519
249,477949,120583
250,474670,101025
